X,Y,Z
-0.1565788,,0.07999996,-8.323696E-09
-0.1587279,,0.08000002,-8.556526E-09
-0.1608257,,0.07999996,-8.789357E-09
-0.1629462,,0.08000002,-9.022187E-09
-0.1651099,,0.07999996,-9.255018E-09
-0.1673509,,0.08000002,-9.487849E-09
-0.169499,,0.08000008,-9.720679E-09
-0.1716563,,0.0799999,-9.95351E-09
-0.1738444,,0.08000008,-1.018634E-08
-0.1759872,,0.0799999,-1.041917E-08
-0.178067,,0.07999996,-1.0652E-08
-0.1801809,,0.08000002,-1.088483E-08
-0.1822596,,0.08000008,-1.111766E-08
-0.1844482,,0.08000002,-1.135049E-08
-0.1866139,,0.08000008,-1.158332E-08
-0.1889077,,0.08000002,-1.181616E-08
-0.1910869,,0.07999996,-1.204899E-08
-0.1932973,,0.08000002,-1.228182E-08
-0.1955103,,0.07999996,-1.274748E-08
-0.1978246,,0.08000002,-1.321314E-08
-0.1999613,,0.07999996,-1.36788E-08
-0.2021836,,0.08000002,-1.414446E-08
-0.2045214,,0.08000008,-1.461012E-08
-0.2069328,,0.08000002,-1.507578E-08
-0.2093266,,0.07999996,-1.554145E-08
-0.2117508,,0.07999993,-1.600711E-08
-0.214565,,0.07999999,-1.647277E-08
-0.2173222,,0.07999993,-1.693843E-08
-0.220299,,0.07999999,-1.786975E-08
-0.2232559,,0.07999993,-1.880107E-08
-0.2264589,,0.0799999,-1.97324E-08
-0.2296075,,0.08000008,-2.066372E-08
-0.2323186,,0.08000002,-2.159504E-08
-0.2351391,,0.07999996,-2.252636E-08
-0.2378818,,0.07999981,-2.345769E-08
-0.2395549,,0.07999999,-2.532033E-08
-0.2412572,,0.08000005,-2.718298E-08
-0.2442828,,0.07999999,-2.904562E-08
-0.2472832,,0.07999996,-3.090827E-08
-0.2508503,,0.08000002,-3.277091E-08
-0.2543116,,0.07999996,-3.463356E-08
-0.2578526,,0.08000002,-3.64962E-08
-0.2613173,,0.07999996,-3.835885E-08
-0.2648241,,0.08000002,-4.022149E-08
-0.2684393,,0.07999996,-4.394678E-08
-0.2723036,,0.08000002,-4.767207E-08
-0.2762152,,0.07999996,-5.139736E-08
-0.2796915,,0.08000002,-5.512265E-08
-0.2832139,,0.07999996,-5.884795E-08
-0.2866153,,0.08000002,-6.257324E-08
-0.2899502,,0.07999996,-6.629853E-08
-0.2929827,,0.08000002,-7.002382E-08
-0.2960086,,0.08000008,-7.374911E-08
-0.2991298,,0.0799999,-7.74744E-08
-0.302332,,0.07999996,-8.119969E-08
-0.3061136,,0.08000002,-8.492498E-08
-0.3097702,,0.08000008,-8.865027E-08
-0.3138531,,0.08000002,-9.237556E-08
-0.3178463,,0.08000008,-9.610085E-08
-0.3212869,,0.0799999,-9.982614E-08
